cover_img_1_1,create_time,is_pay_subscribe,is_read,item_show_type,itemidx,key,msgid,pos_num,title,tts_is_ban,url,user_read_status
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE3dKdKD6v073KsmDf9qjJ1kEzdibqEIQ5KwMwViaGgc4x3d6OcgMxA9KgMxibTzh9djdytTRBEjPtyGw/300,2015-11-07 19:56:06,0,0,0,1,3018206481_400378539_1,400378539,1,Nancy教你弹：一次就好,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=400378539&idx=1&sn=8e936305ba2fa718e1d44d5b354b7a46&chksm=09f030d53e87b9c3d087377183a78a0a576e47ad370f0dcfa490d0ea00f38030e76f3b11fccd#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE38FuNGHuNhQ6EUYCDIejfsmcEK6F4ugkVjY8ooXRmp1BBSwBicfzBOnjFTdpe8tXOsqS53GjCroHA/300,2015-11-14 19:20:26,0,0,0,1,3018206481_400487865_1,400487865,2,Nancy教你弹吉他：See You Again,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=400487865&idx=1&sn=7569a7e68e8dd88411d459626284bab1&chksm=09f38fc73e8406d1a59ea014fdc18562d4e8b1e0853d63157f0e673792ea4dc3fec73f3a7b0a#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE3zemC0mLytiaS2dDLtt69U9R1agcUXyWct7ia9J41GEfTWzKES6ZB1Qicpt2wtmiaqQicAL9B4SVKYbfw/300,2015-11-21 21:13:42,0,0,0,1,3018206481_400636104_1,400636104,3,Nancy教你弹吉他：我只在乎你,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=400636104&idx=1&sn=7ed29f8295487b9deb89945d9fb2a3d3&chksm=09cc42b63ebbcba0ba408fafeffd6e2d60e1bdbeddac83e6a9e2004ad78b98ec6f9d985d2a32#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE3kpHxWlKRHrY8nSk4hcLdspEKja6MW11sfPM7F1L9v2ibt99kMTcicel7ZrbRt6C9Xzg9XUL2HSHBQ/300,2015-11-28 20:57:58,0,0,0,1,3018206481_400794395_1,400794395,4,Lost Stars 教学篇,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=400794395&idx=1&sn=b83c69103793c6de7c0d9f9843a636d4&chksm=09ced9653eb95073c35df8f3397a4f4e7243ee8b8935729527e8163dd91fd7588a1980aa2a3e#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE1RARDzUia7auPicPQlC9jl3mMn96d4wKaDxTQjySdjEibDA06ibnU8iaEFoOjqUicO2ReCIJlbaLYwAgTw/300,2015-12-05 20:33:48,0,0,0,1,3018206481_400958241_1,400958241,5,欧兜拜 - 弹唱教学（吉他版）,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=400958241&idx=1&sn=9880e1607b8cc10951504f966298e97d&chksm=09cb595f3ebcd04920df49266473e400242686823288e86b16a63f4d5d7a505e49a75bc6f9fe#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE2aicbyoDgWwiboywEol2OPjQQMugMz9ToFguXJia5fy4PzophU0AMa34A8fmpAGJVyj7U7icCqiaNdUsg/300,2015-12-12 21:20:10,0,0,0,1,3018206481_401128098_1,401128098,6,风中有朵雨做的云【教学&吉他谱】,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=401128098&idx=1&sn=a25c05f2b8250eb77c330ce5b15c0381&chksm=09c5c0dc3eb249ca57676358be09865fd8da14c49be380ac525f05bb356a446fb488e19fa4e2#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE2qcicY1CqjfbutWGozYl88Tn7gwj9vGlCQRA4SAuibXRSciaiboFQvn3v7FhkAsIFnAf6yqiaA4pk1oSA/300,2015-12-20 19:55:36,0,0,0,1,3018206481_401413389_1,401413389,7,没有理想的人不伤心 - 吉他教学,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=401413389&idx=1&sn=2e8bdcdd0eb9f2ec9611349bcb7e2524&chksm=09c06f733eb7e66555c804c7e7a2c2407b8ea01b14e2216bfb630db6cfcfb8131985755cdb46#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE3gmhnvG8XQR2CZ0TZHzNsy5ia0aMuXQ1z3Nic4gWArRlC9jWW7azaEtNKtVbK5CkzNNVv2QAWYGQ5Q/300,2015-12-30 20:27:32,0,0,0,1,3018206481_401665137_1,401665137,8,Nancy弹唱教学Winter Wonderland,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=401665137&idx=1&sn=6ed452b676bdcccdf6ff72607d6e51d6&chksm=09dd960f3eaa1f19acd3c4505fe80de11bc2832df817742a636bae5570e2a9ac7ec874f843a9#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE2TJsq80HRnI9PFqFOZDOp56AxbwrxcflkjKRqsMHjgOtvOH5icWNfM8j2GexCG4emhIJ2YPbVib8pw/300,2016-01-02 20:51:12,0,0,0,1,3018206481_401716149_1,401716149,9,好想你 ~教学/吉他谱发布~,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=401716149&idx=1&sn=43c179499b732c8613908d1ee432235b&chksm=09dcc9cb3eab40dd47ad2b7f6750d2f7e1a45efe9aecc8dbde4f1be47d8c1afb568b964ea47c#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE2uY6XfH2carYsCpJYWojNibPhKseAgC21GxA8X7nPrdUYfbOWPMo7IYq2ibWbmgj3c2QLVLGvtJ0Zw/300,2016-01-05 22:12:41,0,0,0,1,3018206481_401778217_1,401778217,10,欧兜拜 Nancy尤克里里教程,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=401778217&idx=1&sn=9ac715bcb431d2ff16e5509277abd2f1&chksm=09dfdc573ea8554193fabc6432a92770bc52b646d6f3c4f1ab54ebfb7f9762fc0438bd300db5#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE0HHXx3EAUaqveLziaeZMwWcusumx6n2RyYhutGvXZVMNsqb4gLX96rVnGtb0GT349Y1llPavYN4rg/300,2016-01-10 20:05:11,0,0,0,1,3018206481_401856282_1,401856282,11,如同悲伤被下载两次 教学发布！,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=401856282&idx=1&sn=2440871fcfe276fa86f1de8c1427b340&chksm=09dead643ea924720e9663907b5adac7fef088f6889600efe05bca54bccf74bc04102671f7dc#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE2x3HqQwjcYMscN7HuCibrtejJY43JTs9aTB4CeSVPCxerO3JKj4iauuPiboGR2kVM7pTHHZrKeLNw6A/300,2016-02-01 21:33:34,0,0,0,1,3018206481_402239084_1,402239084,12,Blank Space - 完整教学,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=402239084&idx=1&sn=bfc245226bcf6b1bcf4110c56ddcb659&chksm=09d4d4123ea35d04952d025ff53ca28b7fabe2adf1a88c34792bdca5fb92142ec89aedda22bb#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE1SI2t45ypCYt24W9AD0KgpjBqYUWjEtPauJgwVSnnWGf3HZcwbZv7ZHbYnOFwurTtfFHbsCOiaBJg/300,2016-02-04 20:34:29,0,0,0,1,3018206481_402290368_1,402290368,13,董小姐骑着斑马去南山 - Nancy完整教程,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=402290368&idx=1&sn=e00bff916cbff5c189a0a7fb7554ab5c&chksm=09d70cbe3ea085a8cd5b53c7495f695eb03cf74980f5177138644d9b54032bd2ce4a03046cc9#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE34rfk8HonDgYjzmDlmia4Ca0ceFh77vLBj2I2iaU9anxFXutBFX4dAeayMPySdvE3VVBRCrI934urQ/300,2016-02-05 20:09:22,0,0,0,1,3018206481_402301346_1,402301346,14,从前慢 - Nancy 完整教学,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=402301346&idx=1&sn=f03d74436d0572f54411449a8856be83&chksm=09d7dbdc3ea052caf7e48f317b7fd46173c73093c2026ec0f18f265d4fee212874ff1d1a365c#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE3icHOrxqUr5jXgJlpXiasYQiaPuJfmmFSSVe5hENiaTocBSDpF2I26PficWVuXaOucibRs0XAXlber2KgQ/300,2016-02-13 14:11:15,0,0,0,1,3018206481_402369212_1,402369212,15,简单爱 - Nancy教你来表白,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=402369212&idx=1&sn=a74a9d228f5365fa66f9d939a86fa07a&chksm=09d6d0c23ea159d4a9d23462de84a7551e8e084ed003a678d0833c52082dc4c0d8a835afd991#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE2jRtuickOvtMEsP8HXGiaoq7r9dteBS9majfbjRxeiaEbr6T8uyYas3PM5Xicm4LC8wyyZJv55PE8ISA/300,2016-02-23 21:36:17,0,0,0,1,3018206481_402536445_1,402536445,16,失落沙洲 - 完整教学,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=402536445&idx=1&sn=cf5dcf95f9165add31cd007646cdc15c&chksm=09d34d833ea4c4959d3f0cb182b0ba1260e6b739295350cfd1818065bbe2fff32fdc8b4ccb65#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE1cYtJNNTmazmUPQia35ppNicWFNKAPqLOrU6djOLU7b2YEPibcaBh6UFvcotia0l8iaoibeVseHKXsibVHQ/300,2016-04-01 23:17:29,0,0,0,1,3018206481_403164728_1,403164728,17,Love Yourself 完整教学,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=403164728&idx=1&sn=b752e704c42ffcf14c33ffcd1b0f9e5f&chksm=062ab446315d3d500aedf5dab8e6a10521b61f81db3a37673ba44de0e32c128152436e08747a#rd,0
http://mmbiz.qpic.cn/mmbiz/68JxwhxIxE1HBCtyrY9I6AI7APx3eOxCeI2e2ibjJeibEot1BbnVuM9FwWHv3hpSCics4FY39mFhEsg66fibMM8BIg/300,2016-04-15 20:59:45,0,0,0,1,3018206481_2650648392_1,2650648392,18,遇见 - Nancy 完整教学,0,http://mp.weixin.qq.com/s?__biz=MzAxODIwNjQ4MQ==&mid=2650648392&idx=1&sn=5411869d59636973f3219c96a616b8e8&chksm=83d0d536b4a75c20a99c8ad97a7323792d03e6160f50af67243b98b551e5fdd2fe811b32ed36#rd,0
